,source,target
341,[d]ia,manehna
342,dia,maneh-na
343,diabetes,diabétes
344,dialek,dialék
345,[di] atas,diluhur
346,di atas,diluhur
347,di bawah,dihandap
348,[di] dalam,dijero
349,di dalam,lebet
350,didih,golak
351,dikarenakan,jalaran
352,di mana,timanten
353,dimana,dimana
354,dingin,tiis
355,diNin,tiris
356,diri,nangtung
357,di sana,ditu
358,di sini,dieu
359,diŋin,tiis
360,DNA,DNA
361,donlod,unjal
362,dorong,sorong
363,dua,dua
364,duan,daun
365,dua puluh,dua puluh
366,dubur,bool
367,duduk,diuk
368,duli,kekebul
369,dungu,belegug
370,duri,rucuk
371,durian,duren
372,ébé,ébé
373,ejaan,ortografi
374,eko-,éko-
375,ekologi,ékologi
376,ekor,buntut
377,ékor,buntot
378,elektrolisis,éléktrolisis
379,elektron,éléktron
380,empat,opat
381,enam,genep
382,engkau,anjeun
383,Epilepsi,Épilépsi
384,Eris,Eris
385,Eritrea,Eritrea
386,Eropa,Éropa
387,es,és
388,ester,éster
389,etika,étika
390,eukaryota,eukariot
391,evolusi,évolusi
392,eŋkau,maneh
393,fajar,solat subuh
394,falak,astronomi
395,falsafah,filsafat
396,Februari,Pébruari
397,februari,pébruari
398,fikir,ngamanah
399,Filipina,Pilipina
400,filologi,filologi
401,filsafat,filsafat
402,fisi nuklir,fisi nuklir
403,fotografi,fotografi
404,fotosintesis,fotosintésis
405,frekuensi,frékuénsi
406,fulerena,fullerin
407,fungsi,fungsi
408,fusi nuklir,fusi nuklir
409,gada,gegendir
410,gajah,gajah
411,galaksi,galaksi
412,gali,kali
413,garam,uyah
414,garuda,dadali
415,garuk,garo
416,gas,gas
417,gas buangan,kelun
418,geblek,belegug
419,gelas,kaca
420,gempa bumi,lini
421,gemuruh,guludug
422,genetika,genetika
423,geografi,géografi
424,geologi,géologi
425,gigi,huntu
426,gigit,gogot
427,gila,gélo
428,ginjal,ginjal
429,glukosa,glukosa
430,goblok,belegug
431,golongan darah,golongan getih
432,golongan tabel periodik,golongan tabél periodik
433,gorila,gorilla
434,gosok,kosok
435,gravitasi,gravitasi
436,Gua suka sama lu,Abdi bogoh ka anjeun
437,gugur,labuh
438,gula,gula
439,gumpalan,taiyeur
440,guntur,guludug
441,gunuN,gunuN
442,gunung,gunung
443,haid,kareseban
444,halaman utama,tepas
445,haNat,haneut
446,hangat,warm
447,hantu,jurig
448,hapus,nyapukeun
449,hari,dinten
450,harian,koran
451,hari Jumat,jumaah
452,hari Kamis,kemis
453,harimau,lodaya
454,hari Rabu,rebo
455,hari rabu,rebo
456,hari Sabtu,Saptu
457,hati,ati
458,Haumea,Haumea
459,haus,hanaang
460,helium,hélium
461,hemofilia,hémofilia
462,hepar,ati
463,hewan,sato
464,hidrogen,hidrogén
465,hidrokarbon,hidrokarbon
466,hidroksimetana,asam aminat
467,hidroksimetanon,asam hidrogén karboksilat
468,hidrologi,hidrologi
469,hiduN,iruN
470,hidung,irung
471,hidup,hirup
472,hiduŋ,irung
473,hijau,hejo
474,Hijrah,Hijrah
475,hisap,nyeuseup
476,hitam,hideung
477,hitung,étang
478,hiZau,hejo
479,Holland,Walanda
480,Hong Kong,Hong Kong
481,"Hong Kong S.A.R., Cina",Hong Kong
482,horison,sisi langit
483,hormon,hormon
484,hormon insulin,insulin
485,hujan,hujan
486,hulu,mastaka
487,humor,bodor
488,hutan,leuweung
489,huZan,hujan
490,ia,maneh-na
491,ibu,indung
492,ibukota,dayeuh
493,igloo,igloo
494,ikan,lauk
495,ikat,beungkeut
496,ikatan kovalen,beungkeut kovalén
497,ikut,datang
498,ilmu,élmu
499,ilmu bintang,astronomi
500,ilmu tumbuh-tumbuhan,élmu tutuwuhan
501,India,India
502,Indonesia,Indonésia
503,informasi,data
504,ini,ieu
505,%insan,jalma
506,insulin,insulin
507,interaksi,interaksi
508,internet,internét
509,inti atom,inti atom
510,inti sel,nukleus
511,isap,seuseup
512,isi perut,peujit
513,isotop,isotop
514,isteri,pamajikan
515,istri,pamajikan
516,itu,itu
517,jagad raya,jagat
518,jahat,jahat
519,jahit,ngaput
520,jajar genjang,pasagi doyong
521,jalan,jalan
522,jam,jam
523,jantung,jantung
524,Januari,Januari
525,januari,Januari
526,jarak,anggang
527,jari hantu,jajangkung
528,jari kelingking,cingir
529,jari malang,jajangkung
530,jari manis,jariji
531,jari mati,jajangkung
532,jari panjang,jajangkung
533,jari telunjuk,curuk
534,jari tengah,jajangkung
535,jarum,jɘrum
536,jatuh,labuh
537,jauh,jauh
538,Jawa,pulo Jawa
539,Jazirah Arab,Semenanjung Arab
540,jelek,goréng
541,jembatan,rawayan
542,jenazah,mayit
543,Jepang,Jepang
544,Jerman,Jėrman
545,jika,upami
546,jiwa,manah
547,Juli,Juli
548,juli,Juli
549,jumat,jumaah
550,Juni,Juni
551,juni,juni
552,kabut,halimun
553,kaca,kaca
